Country,Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Egypt,EGY,43950.41,45147.23,46407.61,47786.41,49247.34,50734.97,52206.3,53674.43,55187.68,56710.64,58396.62,60029,61480.66,62915.68,64285.59,65652.62,67028.05,68431.75,69943.3,71520.95,73083.29,74652.03,76239.14,77853.55,79477.44,81101,82700.41,84276.23,85864.78,87501.63,89196.07,91093.06,93161,95333.55,97528.66,99597.35,101644.6,103696.1,105682.1,107553.2,109315.1,110957.1,112618.3,114535.8,116538.2
Eritrea,ERI,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1913.915,2025.267,2128.464,2152.135,2180.419,2212.78,2247.031,2312.079,2392.978,2493.903,2598.284,2661.215,2703.502,2743.222,2816.327,2887.885,2945.186,2998.485,3036.988,3074.36,3095.173,3105.546,3124.698,3150.347,3192.76,3240.194,3291.271,3350.183,3409.447,3470.39,3535.603
Western Sahara,ESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spain,ESP,37527.22,37789.44,38012.05,38191.87,38349.73,38484.93,38597.98,38696.51,38775.78,38834.13,38870.84,38987.62,39184.27,39385.57,39571.77,39745.13,39910.22,40078.91,40243.52,40407.7,40592.28,40896.63,41530.63,42277.59,43015.51,43742.36,44494.15,45337.34,46025.39,46393.87,46599.47,46761.58,46752.23,46577.08,46451.98,46421.45,46467.95,46589.69,46816.25,47168.39,47369.77,47454.57,47860.91,48419.32,48915.74
Estonia,EST,--,--,--,--,--,--,--,--,--,--,--,--,1527.644,1489.833,1458.904,1433.773,1413.194,1397.92,1384.426,1392.995,1395.919,1386.964,1378.31,1369.602,1361.625,1353.756,1345.838,1340.12,1336.752,1334.208,1331.021,1326.883,1322.065,1317.452,1315.226,1315.542,1315.751,1317.822,1322.687,1327.417,1329.658,1331.148,1353.101,1371.386,1370.656
Ethiopia,ETH,34428.52,35304.01,36701.29,37740.82,38735.72,39842.14,41037.66,42460.04,44150.82,45879.69,47609.75,49717.2,51853.75,53708.89,55611.51,57537.34,59467.64,61404.54,63363.52,65374.56,67411.49,69487.77,71635.52,73832.66,76077.2,78367.47,80703.49,83103.22,85543.67,88007.63,90538.52,93149.97,95798.77,98438.75,101115.6,103867.1,106718.2,109666.5,112664.1,115737.4,118917.7,122138.6,125384.3,128691.7,132059.8
European Union,EU27,341720.0774,343139.3924,344079.7914,344704.3602,345241.3103,345855.1668,346696.419,347623.0512,348807.7279,388136.5973,389641.18,405759.3815,406805.2992,423796.5661,424815.0287,425489.0464,426112.4224,426725.5876,427236.012,427596.7525,428176.8105,428660.8402,429738.9567,431300.4945,432926.7541,434416.4922,435840.6231,437293.2441,438719.5149,439609.9862,440269.2289,440997.4207,441569.4139,442071.1524,442678.5692,443598.8704,444420.354,445064.836,445831.7333,446699.9969,446447.5019,446034.9054,447058.5016,448702.1023,449601.3931
Eurasia,EURA,119479.663,120816.206,122078.004,123475.816,124899.402,126350.886,127790.778,129286.451,130771.98,132190.415,282833.616,284429.31,284830.997,284749.29,285013.939,285017.118,284681.356,284116.688,282830.551,282173.577,281592.491,280979.993,280881.507,280884.659,280544.67,280325.067,280218.558,280505.864,281077.633,281897.54,282856.284,283895.517,285172.252,286651.019,288167.118,287440.005,289152.946,290778.589,292199.462,293477.778,294418.063,294877.521,295693.249,293566.12,294372.428
Europe,EURO,472792.5494,475387.5424,477515.1634,479494.4032,481458.0323,483523.2388,485790.591,488116.1582,490706.7029,531439.4993,534310.043,551760.7485,553808.8702,571696.3141,573796.5027,575691.1344,577604.4114,579463.5716,581004.127,582294.0785,583894.6865,585491.6142,587691.7367,590351.3385,593085.3261,595746.8482,598319.5791,600988.4111,603746.8099,605992.3862,608032.5219,610134.6677,612166.6779,614375.2314,617139.6722,620522.2424,623486.414,625936.872,628358.9223,630445.0349,631037.9809,631456.9304,633409.2416,636246.9183,638055.1661
Finland,FIN,4781.596,4803.011,4830.628,4859.304,4884.79,4904.321,4920.026,4933.742,4948.45,4966.874,4989.442,5017.556,5045.24,5069.313,5090.938,5110.049,5126.51,5141.713,5155.035,5166.931,5177.435,5189.731,5202.022,5214.693,5230.281,5248.467,5268.939,5291.661,5316.627,5342.01,5366.333,5391.521,5417.146,5442.046,5464.072,5481.475,5497.301,5509.442,5516.123,5522.527,5530.605,5542.823,5558.072,5588.896,5622.292
Fiji,FJI,641.975,657.471,673.414,689.835,706.716,723.761,739.306,750.54,758.697,766.321,773.316,779.656,785.346,790.369,794.771,798.746,803.789,812.139,822.258,831.828,840.909,849.596,858.049,866.286,874.366,882.379,890.365,897.832,903.399,907.239,910.419,912.989,914.918,916.352,917.585,918.578,919.166,918.759,917.18,914.899,914.963,916.711,919.422,924.145,928.784
Falkland Islands,FLK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
France,FRA,55314.19,55624.99,55944.82,56223.01,56485.5,56749.29,57020.45,57306.86,57610.97,57924.77,58212.01,58495.57,58780.52,59022.42,59236.08,59444.61,59649.85,59856.7,60074.67,60400.09,60816.45,61257.27,61699.07,62131.68,62592.63,63058.35,63489.28,63871.39,64221.59,64543.12,64858.77,65165.14,65479.09,65953.86,66348.59,66570.8,66745.53,66945.07,67191.38,67404.96,67632.98,67955.53,68207.65,68396.05,68553.21
Faroe Islands,FRO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Micronesia,FSM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gabon,GAB,748.389,768.385,789.286,811.005,833.501,856.726,880.705,905.479,931.02,957.138,983.734,1010.818,1038.38,1066.405,1094.72,1123.213,1152.015,1181.439,1211.736,1243.016,1275.572,1309.589,1345.135,1382.35,1421.609,1463.495,1508.337,1556.237,1607.175,1661.556,1719.879,1781.985,1846.889,1913.059,1978.399,2040.989,2100.306,2156.9,2212.318,2267.706,2322.539,2376.722,2430.747,2484.789,2538.952
United Kingdom,GBR,56329.63,56343.69,56299.88,56331.88,56430.38,56569.31,56698.38,56817.5,56939.19,57097.12,57265.62,57453.81,57600.06,57733.69,57883.31,58040.88,58183.44,58334.81,58504.12,58708.81,58915.94,59146.25,59401,59678.75,60017.25,60461.69,60893.38,61382.94,61874.38,62327.25,62827.25,63332.06,63764.44,64201.5,64676.69,65155.06,65640.69,66002.19,66330.75,66627.69,66777.62,67086.5,67761.75,68611.94,69272.44
Georgia,GEO,--,--,--,--,--,--,--,--,--,--,--,--,5294.187,5178.78,5046.271,4925.743,4812.775,4695.356,4576.451,4455.583,4328.358,4209.636,4127.846,4085.483,4056.073,4026.131,3996.591,3967.59,3941.195,3918.941,3895.925,3868.724,3839.208,3809.125,3792.916,3791.573,3792.057,3792.859,3794.877,3796.722,3795.678,3788.451,3794.784,3807.492,3807.67
Ghana,GHA,11941.45,12281.71,12643.82,13029.84,13370.59,13661.23,13965.22,14289.11,14636.57,15006.81,15394.65,15787.5,16184.86,16589.52,16993.19,17399.02,17810.18,18238.96,18688.04,19149.86,19637.09,20167.07,20729.39,21296.7,21868.3,22449.44,23040.7,23642.28,24249.95,24862.67,25475,26095.09,26734.27,27386.2,28041.59,28696.07,29356.74,30008.36,30637.59,31258.95,31887.81,32518.67,33149.15,33787.91,34427.41
Gibraltar,GIB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guinea,GIN,5047.419,5143.288,5247.672,5359.814,5480.096,5610.373,5750.668,5900.198,6056.574,6215.811,6434.374,6697.166,6914.366,7128.177,7345.107,7553.249,7770.035,7931.37,8081.99,8265.123,8428.832,8539.96,8674.066,8870.781,9062.726,9245.844,9441.171,9662.281,9898.87,10143.53,10396.09,10656.81,10921.58,11191.87,11472.92,11767.07,12073.03,12385.66,12704.77,13034.35,13371.18,13710.51,14055.14,14405.47,14754.79
Guadeloupe,GLP,331.211,332.506,335.817,341.382,347.99,354.894,361.914,368.953,375.99,382.805,388.813,393.781,398.158,402.32,406.324,410.184,413.925,417.586,420.466,420.932,419.567,417.834,415.757,413.418,410.854,408.077,407.219,408.296,408.979,408.992,408.812,409.053,409.152,408.361,406.64,403.95,404.634,412.692,415.18,410.257,407.394,399.151,384.697,376.517,375.106
The,GMB,713.913,739.125,765.753,794.525,825.631,858.874,894.019,931.091,970.16,1011.357,1054.696,1099.959,1145.582,1188.365,1227.226,1264.313,1301.41,1338.889,1376.987,1415.779,1455.084,1495.011,1535.691,1577.611,1621.312,1667.037,1715.275,1765.774,1817.852,1871.422,1926.63,1983.784,2043.094,2103.82,2164.528,2224.529,2283.769,2342.189,2399.632,2456.844,2515.733,2576.01,2636.47,2697.845,2759.988
Guinea-Bissau,GNB,829.303,842.432,855.891,869.592,883.519,897.697,912.126,926.862,942.061,957.789,973.669,994.639,1024.356,1058.745,1092.031,1119.949,1143.535,1165.545,1187.473,1210.206,1234.741,1261.273,1289.307,1318.806,1349.563,1381.585,1415.303,1450.986,1488.054,1526.377,1566.347,1608.076,1651.417,1695.973,1741.122,1786.457,1831.893,1877.072,1922.168,1967.696,2013.255,2058.841,2105.529,2153.339,2201.352
Equatorial Guinea,GNQ,288.644,303.252,322.216,343.421,364.899,385.547,404.728,422.522,439.651,456.808,474.274,492.217,510.77,530.023,550.138,571.264,593.492,616.893,641.474,667.214,703.279,749.836,797.957,847.862,899.917,947.367,990.343,1036.044,1084.53,1135.673,1189.085,1241.835,1293.483,1346.218,1399.828,1453.923,1508.186,1562.396,1616.422,1670.177,1716.468,1758.786,1803.545,1847.549,1892.516
Greece,GRC,9678.955,9736.481,9797.423,9852.995,9901.726,9938,9971.741,10004.41,10042.26,10097.35,10215.76,10331.73,10407.04,10467.78,10518.68,10568.7,10613.92,10669.25,10727.33,10765.18,10813.36,10868.67,10905.46,10931.15,10958.83,10991.66,11024.27,11051.59,11082.07,11110.08,11121.85,11100.28,11034.66,10955.61,10883.81,10811.6,10774.03,10751.3,10730.81,10720.83,10693.61,10541.85,10431.16,10405.69,10366.78
Grenada,GRD,94.538,94.052,94.383,94.948,95.498,96.111,96.79,97.526,98.308,99.121,99.957,100.793,101.602,102.382,103.138,103.869,104.584,105.293,106.009,106.727,107.451,107.987,108.404,108.884,109.323,109.734,110.135,110.522,110.896,111.254,111.586,112.079,112.775,113.487,114.132,114.676,115.13,115.438,115.691,115.981,116.341,116.688,116.913,117.081,117.207
Greenland,GRL,50.111,50.718,51.339,51.967,52.611,53.211,53.739,54.266,54.8,55.318,55.63,55.721,55.753,55.758,55.75,55.84,55.999,56.099,56.15,56.13,56.209,56.411,56.592,56.761,56.907,56.95,56.883,56.782,56.661,56.522,56.614,56.834,56.778,56.513,56.173,56.021,56.061,56.071,56.074,56.084,56.08,56.041,55.99,55.922,55.84
Guatemala,GTM,6900.212,7075.648,7240.241,7419.642,7630.682,7849.693,8070.818,8296.485,8532.099,8775.546,9024.773,9272.584,9522.266,9779.761,10043.72,10313,10583.53,10857.75,11139.14,11422.96,11697.59,11969.42,12246.92,12525.84,12807.4,13087.63,13367.46,13652.04,13935.17,14215.61,14500.11,14792.13,15089.65,15387.34,15681.72,15971.74,16268.76,16567.36,16845.69,17103.8,17357.32,17598.65,17847.88,18124.84,18406.36
French Guiana,GUF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie,ie
Guam,GUM,104.133,106.485,108.906,111.402,113.961,116.572,119.232,121.919,124.673,127.522,130.482,133.558,136.692,139.818,142.802,145.561,148.06,150.303,152.277,153.953,155.329,156.401,157.176,157.717,158.101,158.402,158.648,158.847,159.036,159.226,159.444,159.692,159.996,160.407,161.016,161.853,162.951,164.281,165.768,167.294,NA,NA,NA,NA,NA
Guyana,GUY,774.367,776.453,776.712,775.891,774.111,771.477,768.098,764.12,759.663,754.865,749.894,747.861,749.911,752.965,755.822,758.388,760.526,762.245,763.586,764.483,764.832,764.477,763.652,763.101,762.418,760.914,758.966,756.861,754.606,752.094,749.256,746.153,746.288,750.021,754.229,758.781,763.548,768.479,791.556,807.665,807.481,815.482,821.637,826.353,831.087
Hawaiian Trade Zone,HITZ,NA,NA,NA,NA,NA,NA,NA,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,HKG,4962.484,5060.956,5150.094,5235.106,5315.979,5393.122,5451.434,5486.372,5514.899,5540.574,5560.597,5628.095,5759.556,5902.513,6042.261,6177.104,6302.464,6416.673,6521.334,6616.524,6704.664,6774.239,6821.408,6858.907,6888.163,6908.486,6931.09,6971.345,7020.688,7064.467,7101.617,7142.97,7201.061,7264.335,7319.5,7366.409,7408.01,7444.891,7471.194,7485.813,7490.235,7484.601,7465.915,7442.734,7414.909
Honduras,HND,3727.173,3841.778,3958.728,4078.174,4199.85,4323.342,4448.899,4576.91,4707.677,4841.838,4980.488,5123.792,5271.431,5423.249,5579.242,5739.637,5903.954,6071.454,6234.431,6400.463,6577.773,6757.993,6938.859,7119.213,7298.994,7478.355,7656.832,7834.798,8012.587,8189.899,8365.878,8540.583,8715.076,8889.278,9063.122,9237.305,9412.38,9588.137,9765.21,9943.633,10119.64,10289.88,10463.87,10644.85,10825.7
Croatia,HRV,--,--,--,--,--,--,--,--,--,--,--,--,4570.806,4611.636,4653.741,4610.314,4551.08,4535.393,4530.967,4508.882,4371.279,4301.711,4305.425,4305.597,4308.935,4311.877,4313.139,4312.553,4310.61,4305.453,4294.729,4281.186,4258.371,4228.946,4194.684,4149.79,4098.398,4038.501,3985.801,3946.698,3908.208,3873.825,3855.173,3857.814,3845.81
Haiti,HTI,5614.493,5723.725,5835.937,5951.096,6069.23,6190.862,6316.122,6445.123,6578.145,6714.73,6854.441,6995.45,7136.571,7278.181,7419.771,7562.546,7707.557,7854.298,8002.143,8151.296,8303.151,8455.918,8607.641,8759.912,8910.263,9061.273,9216.562,9373.296,9530.774,9689.581,9803.294,9914.904,10069.77,10222.36,10373.24,10523.24,10671.46,10817.75,10962.36,11105.16,11243.85,11374.59,11503.61,11637.4,11772.56
Hungary,HUN,,,,,,,,,,,,10373.46,10368.26,10355.64,10341.69,10327.03,10308.74,10287.79,10263.28,10233.56,10208.3,10184.39,10154.54,10126.35,10104.75,10084.45,10070.07,10053.19,10036.38,10020.57,9996.446,9952.099,9909.003,9867.105,9828.742,9793.229,9754.779,9723.48,9705.291,9693.462,9665.68,9625.8,9603.742,9590.296,9563.578
Indonesia,IDN,148950.6,152485,156052.1,159651.4,163251.1,166776.2,170175.1,173511.2,176855,180201.6,183501.1,186778.3,190043.7,193305.2,196591.8,199888.1,203204.4,206536.1,209826.8,213004.7,216077.8,219097.9,222088.5,225048,227926.7,230871.6,233951.7,237062.3,240157.9,243220,246305.3,249470.1,252698.5,255852.5,258877.4,261799.2,264627.4,267346.7,269951.8,272489.4,274814.9,276758.1,278830.6,281190.1,283487.9
India,IND,687354,703696,720312.9,737373,754875,772648,790690.1,808931,827343,846040,864972,883928,902957,922118,941164,960301,979678,999134.1,1018665,1038226,1057923,1077899,1097600,1116803,1135992,1154676,1172879,1190676,1207931,1225525,1243482,1261225,1278675,1295830,1312277,1328024,1343944,1359657,1374659,1389030,1402618,1414204,1425423,1438070,1450936
Ireland,IRL,3417.8,3458.05,3488.95,3513.65,3534.829,3537.091,3541.083,3538.755,3522.474,3510,3515.724,3537.549,3561.164,3577.984,3592.193,3611.647,3641.871,3678.974,3717.523,3760.48,3812.076,3874.607,3940.008,4004.604,4080.614,4171.975,4290.632,4413.647,4497.488,4538.888,4562.836,4582.385,4602.095,4627.324,4662.711,4708.039,4771.831,4834.517,4908.594,4985.492,5046.533,5121.508,5227.476,5321.574,5393.306
Iran,IRN,39842.32,41989.31,44272.14,46029.54,47794,49582.29,51446.05,53323.49,55072.7,56704.91,58380.09,59986.93,61184.98,61403.54,61520.6,62205.57,62881.3,63639.64,64519.86,65445.39,66418.66,67452.01,68011.32,68769.34,70256.31,71828.45,73392.75,74602.65,75514.2,76457.83,77420.84,78383.6,79370.58,80414.69,81502.05,82619.36,83812.23,85026.76,86118,87051.65,87723.45,88455.48,89524.24,90608.7,91567.73
Iraq,IRQ,13591.99,14006.38,14406.08,14840.55,15310.73,15683.43,16074.14,16521.05,16908.82,17364.54,17581.21,17767.25,18300.85,19201.2,20139.81,20825.86,21501.32,22176.59,22884.4,23636.53,24424.06,25197.84,26006.56,26802.66,27577.88,28407.45,28616.52,28391.61,28971.04,30058.21,31045.37,32161.42,33654.84,35281.99,36550.06,37560.54,38469.63,39337.35,40265.63,41192.17,42116.61,43071.21,44070.55,45074.05,46042.02
Iceland,ISL,228.144,230.746,233.845,236.964,239.501,241.402,243.184,245.855,249.726,252.851,254.833,257.812,261.085,263.754,266.053,267.51,268.96,271.185,274.111,277.448,281.28,285.053,287.607,289.605,292.168,296.834,303.874,311.651,317.514,318.612,318.158,319.137,320.841,323.885,327.512,330.952,335.574,343.531,352.854,360.7,366.614,372.644,380.356,387.558,393.396
Israel,ISR,3721.665,3802.238,3883.632,3959.63,4033.735,4105.359,4168.971,4236.869,4307.32,4381.51,4544.999,4779.89,4957.238,5086.045,5216.699,5354.739,5499.551,5646.473,5790.14,5946.081,6111.19,6259.982,6387.72,6502.82,6615.087,6728.206,6844.032,6962.455,7082.62,7206.096,7336.735,7471.023,7607.78,7749.379,7897.179,8052.908,8210.005,8361.797,8510.067,8657.474,8800.376,8942.924,9103.151,9256.314,9387.021
Italy,ITA,56445.23,56507.27,56548.42,56564.34,56579.62,56594.26,56595.74,56603.79,56634.27,56677.43,56725.46,56762.12,56803.13,56834.46,56843.65,56844.28,56864.3,56893.88,56907.33,56918.12,56946.75,56981.05,57113.96,57452.38,57882.23,58197.26,58427.58,58817.63,59263.54,59589.17,59851.68,60046.43,60212.77,60320.19,60314.41,60213.13,60103.1,59986.13,59862.09,59707.18,59388.2,59107.41,59009.55,58980.97,58918.29
Jamaica,JAM,2145.658,2173.818,2203.889,2234.832,2264.562,2290.656,2312.125,2329.813,2345.777,2361.916,2379.877,2400.869,2424.701,2449.916,2475.22,2500.151,2524.463,2547.848,2569.736,2589.795,2607.826,2624.403,2640.572,2656.623,2672.225,2687.066,2700.968,2713.8,2725.635,2736.995,2748.568,2760.494,2772.43,2783.687,2793.749,2802.534,2809.915,2815.764,2820.097,2823.271,2830.739,2837.682,2839.144,2839.786,2839.175
Jordan,JOR,2234.186,2325.517,2426.927,2537.307,2654.688,2778.81,2909.887,3047.634,3193.039,3349.627,3621.908,3915.149,4127.693,4348.02,4561.406,4752.096,4912.516,5046.285,5164.284,5276.444,5386.945,5498.894,5616.066,5741.828,5882.061,6029.587,6427.371,6827.227,6989.866,7141.753,7297.043,7480.424,7587.127,7991.809,8791.71,9544.729,10006.37,10234.23,10462.31,10671.89,10865.23,11066.36,11256.26,11439.21,11552.88
Japan,JPN,118358.8,118994.1,119485.8,119949,120384.4,120832.2,121366.7,121943.6,122477,122947.4,123399.8,123889.9,124383.7,124840,125286.8,125672.6,125975.3,126266,126549.2,126801.6,127027.8,127260.1,127484.6,127671.2,127815.8,127913.3,127997.2,128087.7,128156,128192.5,128185.2,128096.4,127928.3,127723.6,127486.6,127275.9,127160,127064.7,126913.4,126699.4,126304.5,125679.3,124997.6,124371,123753
Kazakhstan,KAZ,--,--,--,--,--,--,--,--,--,--,--,--,17332.62,17274.48,17043.77,16730.54,16416.03,16043.25,15647.79,15455.88,15501.1,15575.55,15656.68,15747.38,15850.16,15968.12,16103.71,16257.21,16426.53,16619.85,16836.81,17066,17306.11,17556.5,17816.29,18084.17,18363.6,18651.93,18932.73,19209.55,19482.12,19743.61,20034.61,20330.1,20592.57
Kenya,KEN,16018.46,16601.51,17206.18,17846.38,18514.91,19201.77,19901.64,20616.1,21356.22,22118.43,22892.65,23646.52,24382.46,25117.19,25857.13,26601.75,27344.21,28101.77,28888.06,29733.41,30642.89,31619.17,32629.8,33652.23,34713.45,35796.48,36904.01,38036.35,39206.35,40408.89,41598.57,42758.46,43888.3,44986.79,46051.44,47088.53,48139.69,49197.77,50207.11,51202.82,52217.34,53219.17,54252.46,55339,56432.94
Kyrgyzstan,KGZ,--,--,--,--,--,--,--,--,--,--,--,--,4600.31,4626.803,4649.185,4713.635,4782.882,4847.993,4907.791,4968.587,5025.145,5071.956,5116.254,5159.422,5203.041,5246.332,5282.453,5313.368,5342.52,5398.007,5491.761,5594.535,5696.519,5797.289,5898.319,6001.882,6108.462,6220.15,6341.732,6494.035,6664.14,6820.479,6955.788,7073.516,7186.009
Cambodia,KHM,5199.872,5284.495,5436.432,5636.203,5845.117,6043.783,6285.693,6557.97,6812.014,7073.473,7374.752,7686.85,8113.083,8616.381,9239.162,10018.5,10801.27,11570.98,12058.17,12265.73,12462.34,12658.48,12855.24,13050.97,13244.73,13439.2,13639.03,13841.77,14053.48,14276.81,14500.73,14722.58,14945.08,15170.21,15396.77,15623.25,15852.8,16073.37,16274.52,16481.3,16725.47,16974.3,17201.72,17423.88,17638.8
Kiribati,KIR,,,,,,,,,71.427,73.147,74.855,76.367,77.641,78.841,80.021,81.234,82.623,84.147,85.657,87.126,88.613,90.335,92.264,94.175,96.085,98.035,100.017,102.068,104.222,106.467,108.704,110.647,112.284,113.838,115.326,116.815,118.478,120.275,122.084,123.921,126.099,128.377,130.469,132.53,134.518
Saint Kitts and Nevis,KNA,,,,,,,,,41.062,40.758,40.432,40.358,40.715,41.242,41.776,42.326,42.877,43.428,43.998,44.601,45.248,45.761,46.02,46.176,46.315,46.437,46.569,46.706,46.835,46.916,46.846,46.886,47.033,47.069,47.089,47.087,47.075,47.05,47.008,46.952,46.87,46.763,46.709,46.758,46.843
South Korea,KOR,38141.11,38689.19,39356.15,40000.94,40598.3,41148.96,41718.5,42322.09,42922.98,43524.77,44081.43,44439.15,44653.7,44887.72,45130.84,45368.43,45638.7,45941.54,46230.88,46500.38,46766.66,47043.47,47299.12,47514.16,47697.07,47851.64,48006.52,48178.12,48356.49,48546.69,48769.33,49127.64,49599.58,50071.16,50539.05,50983.91,51297.84,51486.27,51640.89,51767.84,51858.48,51848.4,51782.52,51748.74,51717.59
Kuwait,KWT,1504.782,1583.426,1662.48,1744.295,1820.688,1894.242,1972.52,2052.994,2134.707,2217.468,1684.819,1351.399,1634.961,1672.151,1664.361,1681.513,1730.246,1787.683,1844.302,1900.03,1954.709,2008.121,2059.974,2109.881,2157.32,2236.788,2364.733,2507.887,2651.421,2795.484,2943.372,3132.814,3337.025,3507.746,3665.766,3834.454,4003.971,4154.685,4323.387,4442.194,4400.144,4360.742,4589.511,4838.782,4934.507
Laos,LAO,3292.573,3366.631,3450.026,3541.001,3637.843,3739.985,3846.715,3957.612,4072.601,4190.974,4311.955,4435.118,4559.646,4685.06,4809.22,4929.409,5045.678,5152.011,5248.266,5340.784,5431.212,5521.482,5610.889,5697.945,5781.626,5869.523,5963.2,6056.236,6148.969,6241.642,6334.194,6426.59,6518.978,6611.385,6703.172,6801.645,6908.802,7018.147,7128.045,7237.636,7346.533,7453.194,7559.007,7664.993,7769.819
Lebanon,LBN,2944.763,3008.981,3054.931,3094.996,3152.744,3217.376,3300.365,3385.555,3454.649,3525.285,3595.175,3668.912,3747.371,3820.647,3889.799,3960.735,4034.781,4108.405,4181.281,4255.277,4329.34,4401.918,4463.504,4525.508,4599.279,4671.102,4751.136,4844.118,4925.354,4992.287,5041.288,5096.02,5235.742,5743.436,6346.99,6472.469,6323.06,6160.128,5984.119,5794.594,5702.398,5718.122,5744.489,5773.493,5805.962
Liberia,LBR,1929.253,1986.867,2045.073,2107.113,2173.312,2240.539,2308.511,2377.229,2446.941,2517.858,2223.667,1956.518,2072.461,2155.126,2149.928,2169.162,2232.289,2412.989,2670.124,2821.684,2928.117,3015.338,3094.782,3119.532,3156.892,3301.015,3490.787,3669.05,3821.003,3943.028,4058.89,4221.178,4373.043,4470.239,4564.293,4659.431,4755.608,4848.925,4944.726,5043.721,5149.463,5259.323,5373.294,5493.031,5612.817
Libya,LBY,3424.378,3621.486,3724.765,3718.961,3773.633,3898.745,4017.403,4129.739,4237.755,4342.92,4445.239,4544.4,4640.352,4733.045,4822.037,4906.843,4987.393,5064.639,5140.704,5218.038,5305.021,5403.639,5508.41,5619.398,5736.693,5858.798,5980.211,6104.38,6235.43,6366.686,6497.839,6343.203,6179.328,6304.628,6427.252,6531.819,6632.126,6738.77,6849.055,6951.033,7045.399,7135.175,7223.805,7305.659,7381.023
Saint Lucia,LCA,119.29,121.166,123.087,125.044,127.067,129.159,131.239,133.227,135,136.512,137.857,139.52,141.617,143.726,145.89,148.208,150.436,152.569,154.677,156.702,158.616,160.237,161.641,162.976,164.239,165.45,166.639,167.758,168.808,169.869,170.906,171.801,172.587,173.369,174.138,174.905,175.646,176.342,177.017,177.661,178.25,178.522,178.781,179.285,179.744
Sri Lanka,LKA,14847.97,15099.41,15286.57,15388.79,15441.86,15544.15,15731.26,15916.58,16078.62,16248.56,16352.46,16475.35,16739.28,17025.92,17275.77,17564.07,17905.02,18248.2,18596,18944.73,19293.05,19600.36,19805.75,19951.52,20087.61,20216.52,20352.41,20492.54,20629.38,20756.44,20879.09,21009.05,21169.46,21358.83,21547.46,21729.97,21910.77,22087.52,22253.12,22410.55,22561.81,22700.37,22834.96,22971.62,23103.56
Lesotho,LSO,1406.521,1448.069,1490.732,1534.413,1578.986,1624.379,1666.138,1703.39,1739.841,1775.436,1809.696,1842.379,1873.274,1901.793,1927.707,1951.437,1972.418,1988.13,1998.049,2003.234,2003.913,2000.853,1994.679,1985.059,1971.129,1953.076,1945.063,1953.268,1966.541,1980.883,1996.251,2014.009,2034.354,2056.504,2080.089,2104.611,2130.422,2157.11,2183.603,2209.405,2235.727,2261.542,2286.11,2311.472,2337.423
Lithuania,LTU,--,--,--,--,--,--,--,--,--,--,--,--,3698.568,3679.783,3653.606,3625.629,3598.213,3571.918,3546.099,3521.197,3496.401,3466.772,3440.175,3411.142,3371.611,3314.354,3264.928,3226.622,3194.637,3157.681,3086.108,3021.996,2985.513,2957.903,2934.601,2907.225,2872.763,2838.529,2817.45,2810.811,2810.467,2807.784,2838.049,2875.162,2875.193
